,score,word
coffee,0.01041871139241667,coffee
parking,0.010305068488725137,parking
first,0.010235240918383771,first
could,0.010206354991324452,could
located,0.010135133639877687,located
awesome,0.009827609851902779,awesome
away,0.009759655559863916,away
airbnb,0.00973768228794798,airbnb
kitchen,0.00970541190865643,kitchen
minute,0.009693422400003834,minute
visit,0.009661759173888595,visit
excellent,0.009614203959197317,excellent
stayed,0.00952926712842999,stayed
thank,0.009350850566399543,thank
felt,0.00933659001457816,felt
bathroom,0.00930165912753304,bathroom
right,0.009269074259773441,right
make,0.009136168788270258,make
fantastic,0.009084548410508422,fantastic
private,0.008963968958873948,private
exactly,0.008933748699503233,exactly
trip,0.008919207966558287,trip
next,0.008866190199863127,next
described,0.008822877710510655,described
provided,0.008467771931835785,provided
street,0.008420731830718934,street
hill,0.008330093430428136,hill
go,0.008280869899648591,go
shop,0.008224786027228603,shop
within,0.008153239902774176,within
family,0.008135214459163488,family
short,0.008127690371750637,short
spacious,0.008117003611191753,spacious
access,0.007976402979660928,access
thing,0.007934969595505052,thing
welcome,0.007871565548600799,welcome
question,0.007805286627293322,question
sure,0.007779586974656077,sure
spot,0.0077049519488374685,spot
studio,0.007649671394118735,studio
two,0.007536213586026561,two
responsive,0.007340634096991893,responsive
many,0.007315988173123793,many
come,0.007292728853872526,come
warm,0.007287908644214308,warm
bar,0.007194870804890061,bar
friend,0.007176740450655774,friend
gave,0.007050252978240943,gave
extremely,0.0070345337860880635,extremely
best,0.006939972809247956,best
cute,0.006915020741161469,cute
cottage,0.006907337475814941,cottage
ballard,0.006841477286192464,ballard
quick,0.006818627667465996,quick
anyone,0.0068066448592593535,anyone
kind,0.006740191616755643,kind
available,0.006699518511589157,available
arrived,0.006693876166991693,arrived
block,0.006678928676796592,block
able,0.006577777527205643,able
better,0.006544620332483111,better
comfy,0.006544136312107219,comfy
love,0.006526892548295183,love
plenty,0.0064442882070486545,plenty
left,0.006402384713492554,left
guest,0.006390712294730166,guest
communication,0.006379370038425129,communication
park,0.006373912412686902,park
town,0.006371748362982325,town
people,0.006343388085949819,people
overall,0.006260787805270649,overall
absolutely,0.0062427028684979196,absolutely
see,0.006180353773299692,see
amenity,0.006160040072750152,amenity
arrival,0.006156697217407393,arrival
looking,0.006010379422909341,looking
bedroom,0.006003182189274278,bedroom
find,0.00599541705762113,find
enough,0.00596429539030695,enough
safe,0.005955813728138011,safe
recommended,0.005936527216730184,recommended
market,0.0058618050318075985,market
way,0.005833736431044822,way
capitol,0.005799458615483477,capitol
light,0.0057590960028459605,light
car,0.005746459494422075,car
use,0.005711966589323376,use
morning,0.005678812847777885,morning
meet,0.005665221194011373,meet
pike,0.005642209869802297,pike
breakfast,0.005626201340285315,breakfast
want,0.005602220834321234,want
lake,0.005580873343624671,lake
always,0.00558049619725568,always
work,0.0055735319560310265,work
quite,0.005531756793308118,quite
near,0.005516501282616299,near
nearby,0.005502436208835968,nearby
fun,0.005495511881711736,fun
small,0.005456081587392542,small
food,0.005444938941142707,food
pleasant,0.005438836150486325,pleasant
got,0.005406135736044597,got
visiting,0.005275354289500552,visiting
cool,0.005253901987659808,cool
listing,0.00514223493438403,listing
met,0.005127342481633585,met
local,0.00511783598570129,local
late,0.005095539818632288,late
went,0.005026892259610658,went
accommodation,0.005000969902058621,accommodation
every,0.004990682119153713,every
weekend,0.004982809421371375,weekend
couple,0.004971266614485781,couple
unit,0.004902532243577969,unit
recommendation,0.004896518827525457,recommendation
appreciated,0.004883350974314712,appreciated
picture,0.004843178668718315,picture
bit,0.004790236449219702,bit
pretty,0.004789043079220242,pretty
etc,0.0047530061473452625,etc
take,0.0047348356892364385,take
building,0.004733375521257514,building
though,0.004720281010016085,though
garden,0.004693358432215177,garden
public,0.004653554476642168,public
part,0.00463460232341358,part
stocked,0.004589994405589575,stocked
book,0.004572858028426139,book
fremont,0.004561716926173005,fremont
store,0.004543544293978292,store
touch,0.004533336843210076,touch
stop,0.004522647976355276,stop
information,0.004511516521442239,information
gracious,0.0044644653281823874,gracious
getting,0.004456823729255945,getting
water,0.004416714389775843,water
living,0.004377753567926237,living
hotel,0.00437763401174599,hotel
charming,0.00435501071590907,charming
ever,0.004346385893667935,ever
dog,0.004334671668069637,dog
look,0.004330598629864407,look
found,0.0043193111630007,found
wanted,0.004302265845705582,wanted
decorated,0.004290621896839936,decorated
privacy,0.004268490287673002,privacy
sweet,0.004266840449176684,sweet
problem,0.004244490198102798,problem
drive,0.004221299765287127,drive
easily,0.004211722134263233,easily
center,0.004204841063301229,center
anything,0.004172851902063398,anything
going,0.004142097890405339,going
door,0.0041262869004386965,door
shower,0.004099297908185022,shower
return,0.004088579766475718,return
hope,0.004078798204797151,hope
never,0.004075508940008623,never
min,0.004061532700866221,min
person,0.004039970227426114,person
full,0.004037775380594877,full
big,0.004029037234162821,big
happy,0.004018792161293634,happy
especially,0.0040041699458504,especially
eat,0.004002484398628678,eat
instruction,0.00399504901418646,instruction
towel,0.003990614402114716,towel
week,0.003971780469450377,week
needle,0.003940704002297263,needle
long,0.003939111514843961,long
equipped,0.003919113448874076,equipped
help,0.00391815704984559,help
know,0.0039117141864340715,know
neighbourhood,0.0039083383332409365,neighbourhood
flexible,0.0038992850603307588,flexible
husband,0.003888759107227417,husband
condo,0.0038865251098810297,condo
perfectly,0.0038828669070160725,perfectly
transportation,0.0038753599743171496,transportation
enjoy,0.0038449237175826293,enjoy
key,0.0038402815412830584,key
ride,0.003802638834833362,ride
grocery,0.0037983166088521618,grocery
far,0.003792915550307524,far
making,0.003737395388377266,making
large,0.003729575610346156,large
new,0.003727363471424345,new
extra,0.00370708980855613,extra
fresh,0.0037038278830815404,fresh
advertised,0.0037012555287041803,advertised
cat,0.003680747542413899,cat
plus,0.00367636593038024,plus
suggestion,0.003671196708288162,suggestion
took,0.003660957051857922,took
early,0.0036415912524071273,early
although,0.003621511591876261,although
future,0.0036057829470080545,future
accurate,0.0035905673168139837,accurate
last,0.003579565048485015,last
incredibly,0.0035624374765924585,incredibly
suite,0.003558213117216444,suite
attraction,0.003503534259766681,attraction
let,0.00348971683898359,let
welcomed,0.003475144159716213,welcomed
modern,0.0034707952356721854,modern
floor,0.003463005953551703,floor
worked,0.0034574375291026456,worked
since,0.0034157730050284715,since
window,0.0033960832703895357,window
description,0.003349182374544506,description
came,0.0033481818026451036,came
basement,0.0033470671294974956,basement
price,0.003345831807500753,price
sleep,0.0033407230686948093,sleep
outside,0.003337073701152346,outside
rail,0.003334652578305956,rail
issue,0.003324513915401663,issue
quickly,0.003285843105591517,quickly
walked,0.0032707930306000357,walked
cafe,0.003267619574935956,cafe
explore,0.0032657589860191306,explore
set,0.003264543507851835,set
kept,0.003249259556852723,kept
central,0.0032444030760534147,central
say,0.0032390517330743575,say
helped,0.0032234296848146536,helped
appointed,0.0032028985700999065,appointed
conveniently,0.0031997847701406372,conveniently
fridge,0.0031967945028251537,fridge
whole,0.0031783568654277813,whole
without,0.0031725799777460725,without
hot,0.0031700002963760995,hot
including,0.0031672181396960944,including
expected,0.0031652219819423674,expected
loft,0.0031541221733449197,loft
peaceful,0.0031507697834637963,peaceful
clear,0.0031368369639789,clear
travel,0.00312305900040343,travel
noise,0.0031093007112235308,noise
airport,0.00309729565813958,airport
relaxing,0.003091044272990206,relaxing
nicely,0.0030816973699977846,nicely
apt,0.0030666419604605546,apt
tip,0.003064140200021432,tip
snack,0.0030523741239059017,snack
detail,0.003050314443199184,detail
property,0.00303435545112992,property
exploring,0.003026823367185753,exploring
direction,0.003008424084222011,direction
air,0.002990432588102342,air
several,0.0029863556887592024,several
communicate,0.0029665001696200658,communicate
deck,0.0029543689511842245,deck
free,0.002950004835229108,free
thoughtful,0.0029286079613629625,thoughtful
accessible,0.0029275473168742148,accessible
front,0.0029174376175701306,front
neat,0.002903760683719719,neat
using,0.0028970946856178765,using
tea,0.002890939271969753,tea
everywhere,0.0028800199431695188,everywhere
thought,0.002871390603826656,thought
station,0.002864706408508634,station
asked,0.0028612888861062075,asked
tidy,0.002852758003062475,tidy
old,0.0028486783634517746,old
wine,0.002845339484154514,wine
offered,0.002842565650766978,offered
wife,0.0028421524201501743,wife
photo,0.002839081873398032,photo
tv,0.0028269083299025484,tv
queen,0.002818561066501204,queen
open,0.002810709950772984,open
hospitality,0.0028071229172042466,hospitality
michael,0.002804529623768689,michael
adorable,0.002799604012113816,adorable
spent,0.0027952560612633176,spent
simple,0.0027889532256834596,simple
green,0.0027747847592985786,green
hour,0.0027735578579089564,hour
evening,0.0027543823277763504,evening
second,0.0027538752893817896,second
used,0.00275142185482398,used
wish,0.0027477336406886215,wish
lauren,0.0027384830839025666,lauren
gorgeous,0.002736215912424929,gorgeous
ideal,0.0027238883568537677,ideal
heart,0.0027189737701849705,heart
respond,0.0027180482769476,respond
shopping,0.0027141438366128094,shopping
process,0.002710796567931659,process
john,0.0027089818432543644,john
organized,0.002701100989133757,organized
top,0.002700558994252091,top
coming,0.002694406467273281,coming
hostess,0.0026916605372725748,hostess
line,0.0026901027122395818,line
wifi,0.0026838615800809265,wifi
still,0.00267973695522176,still
walkable,0.002669425161664956,walkable
rental,0.002662310159492554,rental
communicative,0.002643305331555873,communicative
plan,0.0026320283503317,plan
daughter,0.002619411306707495,daughter
interesting,0.0026162461213779537,interesting
longer,0.0026137179915111134,longer
upon,0.0026108561324227997,upon
chris,0.0026071763876030205,chris
email,0.0026056387295338226,email
others,0.0026032819304475686,others
another,0.0026009318882820433,another
uber,0.002591773403850671,uber
responded,0.002584942584570322,responded
chance,0.00256705805367486,chance
main,0.002558149422517823,main
truly,0.002549416291361052,truly
ready,0.0025472894032223504,ready
slept,0.0025455804528157306,slept
offer,0.0025450684202351468,offer
inviting,0.0025412134842832815,inviting
spend,0.0025395428328544335,spend
three,0.002538353013463013,three
throughout,0.002525400446848222,throughout
care,0.0025199251319725194,care
give,0.002511834555810067,give
anne,0.002508423967378744,anne
option,0.002499888953688953,option
ton,0.0024958149169017688,ton
fabulous,0.0024920326045078604,fabulous
furnished,0.0024862695528344116,furnished
text,0.0024784915013690693,text
hospitable,0.0024592638210807344,hospitable
west,0.0024467655804399978,west
delicious,0.0024427034539145844,delicious
greeted,0.0024274562349387127,greeted
checking,0.0024268483372716794,checking
pictured,0.00242632388433038,pictured
forward,0.002422192823365787,forward
carol,0.002421071912021447,carol
leave,0.0024104409679513543,leave
nick,0.002407346022377834,nick
checked,0.0024028502161023836,checked
size,0.0023889802452490097,size
totally,0.002376904163954735,totally
entrance,0.0023690004158416628,entrance
attentive,0.0023685739705074016,attentive
might,0.0023619662465843203,might
dryer,0.0023616247014827912,dryer
district,0.0023596834196725623,district
cabin,0.002358463738395824,cabin
beach,0.002357827130876405,beach
enjoyable,0.0023575320947769943,enjoyable
note,0.002355865603739522,note
lisa,0.0023555755881244024,lisa
drink,0.0023551225237184227,drink
centrally,0.002349045915807577,centrally
liked,0.0023486784597709994,liked
via,0.0023431720768068783,via
patio,0.002339571789767312,patio
showed,0.0023322814385788094,showed
kevin,0.0023307930533104384,kevin
bath,0.0023191874838072732,bath
guy,0.002301850561664857,guy
amanda,0.0022978618177127226,amanda
dinner,0.00229259212236851,dinner
david,0.0022871200352516602,david
fine,0.0022847011507169,fine
traveling,0.0022586159245940626,traveling
beyond,0.0022563251965460975,beyond
busy,0.002253461191461184,busy
backyard,0.0022471377628323513,backyard
actually,0.0022444671951668974,actually
pleasure,0.002242444414101212,pleasure
yet,0.0022389831114613405,yet
contact,0.002234341280511582,contact
kid,0.0022309046331365208,kid
booking,0.0022286184654358326,booking
beth,0.0022281927681531513,beth
transit,0.00222794102608821,transit
live,0.002217914931293945,live
across,0.002208729610670146,across
incredible,0.0022044453437131415,incredible
certainly,0.0021970605780383765,certainly
bright,0.002195362805872483,bright
alexia,0.0021923384380125037,alexia
huge,0.0021871366379926514,huge
amy,0.0021835248719603616,amy
think,0.002182865386676892,think
bottle,0.0021740460428591093,bottle
flight,0.002172963661813058,flight
beautifully,0.0021518810569150226,beautifully
ask,0.0021500057490983055,ask
julie,0.002149291651318703,julie
value,0.0021488869221032683,value
rest,0.0021477509018190473,rest
shared,0.002146670548040476,shared
request,0.002124740085787841,request
group,0.0021233791134108167,group
son,0.0021206221396698646,son
university,0.0021123498428089553,university
entire,0.002108155509467127,entire
favorite,0.0020983523584349054,favorite
yard,0.0020850838168083603,yard
advice,0.002084854174411122,advice
fully,0.0020798648278298314,fully
map,0.002075031454792988,map
soon,0.002073950269963332,soon
schedule,0.002072891762308844,schedule
year,0.002072191426764918,year
prompt,0.0020719329577883654,prompt
relax,0.0020668401276590013,relax
tom,0.0020629735398364738,tom
life,0.0020583786442058506,life
however,0.0020558872863526002,however
end,0.0020391831856070002,end
washington,0.0020376618603457682,washington
corner,0.002035038220244302,corner
try,0.0020342177346798873,try
flat,0.002013429362060031,flat
treat,0.0020085000777256036,treat
upstairs,0.001999963465450251,upstairs
terrific,0.001994557753002095,terrific
put,0.0019942030874637324,put
bonus,0.0019934896420687642,bonus
fruit,0.0019896340051757154,fruit
everyone,0.0019863740382511795,everyone
almost,0.0019825188543431036,almost
base,0.0019819017589050433,base
deal,0.001980503708556878,deal
art,0.00197990195884329,art
spotless,0.0019776758351372514,spotless
tour,0.0019753911648330413,tour
cook,0.0019720808654277878,cook
keep,0.001970397728784459,keep
boyfriend,0.001966301953734252,boyfriend
talk,0.0019496188894277736,talk
delightful,0.0019388017327810348,delightful
chocolate,0.0019354427618220012,chocolate
answered,0.0019351320535587703,answered
mile,0.0019345252672685624,mile
generous,0.0019214256492285163,generous
le,0.001915878622804118,le
washer,0.001913459507808472,washer
vacation,0.00190768594572865,vacation
four,0.0019059712720335806,four
meal,0.0019052198443955323,meal
anywhere,0.0018956376825416243,anywhere
along,0.0018868582169491444,along
tub,0.0018863645835722972,tub
message,0.001868756749289503,message
laura,0.0018572029869208433,laura
train,0.0018561011835172318,train
anna,0.0018539076525296557,anna
tourist,0.0018506897335821978,tourist
may,0.0018419716381513217,may
sound,0.0018408879596897027,sound
unique,0.0018387187770226444,unique
decor,0.0018328258808524556,decor
jaq,0.0018304125046350198,jaq
choice,0.0018304049115987287,choice
balcony,0.0018284141807078677,balcony
downstairs,0.0018202005581928677,downstairs
said,0.0018196244398586878,said
business,0.0018188589919509261,business
immediately,0.0018065885330660098,immediately
show,0.0018064683164471758,show
residential,0.0018035805287002062,residential
answer,0.0018035014077016104,answer
fast,0.0018002807984083913,fast
dining,0.0017968283497321392,dining
prepared,0.0017962349481948326,prepared
site,0.0017937344557718271,site
fan,0.001793168681056179,fan
expectation,0.0017858140084376336,expectation
rent,0.001783630617897438,rent
breeze,0.0017826692305919385,breeze
booked,0.0017826359261783593,booked
laundry,0.0017765004396733707,laundry
dirk,0.0017693181723567424,dirk
quaint,0.0017618444489772794,quaint
looked,0.0017617798383584404,looked
high,0.0017588990810557224,high
homey,0.0017576842869866664,homey
matt,0.001757005469718104,matt
real,0.0017456192595506725,real
inside,0.0017379063179141427,inside
providing,0.0017341899039236817,providing
mark,0.0017328421062154278,mark
something,0.0017288749405364192,something
run,0.0017278862410655066,run
comfort,0.001724603321631804,comfort
owner,0.0017210690345964275,owner
star,0.0017174699225864496,star
bike,0.001717228766826287,bike
thoroughly,0.0017155205258015433,thoroughly
serina,0.0017134418369572474,serina
job,0.0017057047015135488,job
convention,0.0017052019117355971,convention
situated,0.0017005164805895966,situated
beat,0.0016985689886106832,beat
info,0.0016958039758354262,info
nothing,0.0016925811471277168,nothing
immaculate,0.0016916264468853654,immaculate
allowed,0.0016843717282133362,allowed
list,0.0016825061823624663,list
major,0.001676209382716701,major
jean,0.0016757628900731826,jean
detailed,0.0016706912744969523,detailed
step,0.0016694719675845581,step
else,0.0016662866388249015,else
point,0.0016631960083378669,point
summer,0.0016631433429808288,summer
couch,0.0016558256973534208,couch
waiting,0.0016540154489983576,waiting
completely,0.0016487441309244193,completely
eve,0.001647701223843058,eve
capital,0.001647335851766362,capital
fit,0.0016420474913884102,fit
hesitate,0.0016416364688700007,hesitate
joe,0.0016403443210950292,joe
meeting,0.0016399673909393382,meeting
dan,0.0016338668420047156,dan
month,0.001633408194790032,month
sight,0.001633197071260689,sight
uw,0.001632007863276434,uw
sleeping,0.001629693454868909,sleeping
basic,0.0016285993489524118,basic
cooking,0.001626555619091531,cooking
different,0.0016263008618709876,different
weather,0.0016252109608708184,weather
provide,0.0016215974764769692,provide
retreat,0.0016131631520165451,retreat
smooth,0.0016106896519406109,smooth
due,0.0016082530302607139,due
rooftop,0.0016079497890549032,rooftop
traveler,0.00159901997026512,traveler
table,0.0015944950770337188,table
pleased,0.001591953027146829,pleased
toiletry,0.0015885444002820125,toiletry
brian,0.0015822962655612765,brian
traffic,0.0015820175335693584,traffic
sheet,0.001578581156905922,sheet
foot,0.00157656867928753,foot
already,0.0015731928544784617,already
wedding,0.0015703207263066058,wedding
transport,0.0015687722720534477,transport
melissa,0.0015668602925752594,melissa
hidden,0.0015664121696087334,hidden
surrounding,0.0015636854158643965,surrounding
bnb,0.0015569657939997234,bnb
maintained,0.0015506301774407664,maintained
special,0.0015484879619111118,special
girlfriend,0.0015465409738245736,girlfriend
stuff,0.0015445772975551872,stuff
wait,0.001544364125498277,wait
road,0.001544030976479234,road
internet,0.0015416497387109433,internet
proximity,0.0015398522158305563,proximity
phone,0.0015384710262894333,phone
item,0.001535399064560886,item
review,0.0015332637181691,review
jennifer,0.0015295139478307617,jennifer
game,0.0015223061745378713,game
mattress,0.0015210291032949545,mattress
promptly,0.0015191092290751673,promptly
conversation,0.0015063498324309353,conversation
middle,0.0015060615704030023,middle
bakery,0.0014939206309925615,bakery
cosy,0.0014909848377367588,cosy
calen,0.0014900742473315162,calen
hang,0.001487399940720709,hang
activity,0.0014828623397728478,activity
service,0.0014788134441359514,service
laid,0.001477058790144639,laid
parent,0.001475444242945195,parent
bag,0.0014729594689850854,bag
probably,0.0014710028653952502,probably
hard,0.0014682505719855955,hard
ann,0.0014654873870786147,ann
child,0.0014638095314957438,child
nadine,0.001463473624248245,nadine
worth,0.0014618151330076214,worth
luggage,0.0014614163290006474,luggage
paul,0.0014589576030321631,paul
james,0.0014586892386305524,james
hear,0.0014572935684899096,hear
positive,0.0014569775625907892,positive
pillow,0.0014529342223943554,pillow
accommodate,0.001452310295944986,accommodate
guide,0.0014509045781267043,guide
prior,0.0014495733431845715,prior
beer,0.001443094295301642,beer
lock,0.001439838032317337,lock
complaint,0.0014371407323020909,complaint
andrew,0.0014365209549752147,andrew
columbia,0.0014361764477585225,columbia
glad,0.001432163525385483,glad
side,0.0014270279820878798,side
later,0.001426714559810162,later
working,0.0014253452224223006,working
tiny,0.0014250392748769432,tiny
separate,0.0014236056557485892,separate
route,0.001417843652523552,route
linen,0.0014177727584952136,linen
getaway,0.001416798540907476,getaway
closet,0.0014162961387119651,closet
five,0.001414304176275247,five
possible,0.0014141266582865263,possible
adam,0.0014101743724150182,adam
giving,0.0014080909795599437,giving
th,0.0014066757253789728,th
reach,0.0014054634785250764,reach
neighbor,0.0014020942291063645,neighbor
finding,0.0014010550690434873,finding
susan,0.0014009284377200658,susan
flower,0.001400349176064287,flower
start,0.001398780159537894,start
cold,0.0013973589492379606,cold
chat,0.0013948105924719006,chat
sarah,0.0013877971600124068,sarah
craig,0.0013860824656337276,craig
sharing,0.0013774311505429053,sharing
seemed,0.001377142086909452,seemed
taking,0.0013769890410937585,taking
shampoo,0.001376361700503027,shampoo
given,0.001376154093835489,given
reservation,0.0013724496271830318,reservation
waterfront,0.0013708107323201675,waterfront
conference,0.0013655374797535192,conference
convenience,0.001362728666888725,convenience
mind,0.0013618598890376816,mind
wallingford,0.0013577065535325874,wallingford
link,0.0013573814823670265,link
facility,0.0013557024419336618,facility
someone,0.0013518722773682643,someone
accommodated,0.0013513784188954768,accommodated
personal,0.0013506693329612446,personal
tree,0.0013488699964181875,tree
consider,0.0013468830523041,consider
heartbeat,0.001342929780547935,heartbeat
trouble,0.0013421502935470513,trouble
response,0.0013405155753970957,response
eric,0.0013300601804731096,eric
call,0.0013288507665312104,call
considerate,0.0013288295341147074,considerate
comfortably,0.0013259273787963178,comfortably
roomy,0.0013255581837827305,roomy
marcia,0.0013253559533722237,marcia
willing,0.0013247970937302297,willing
mini,0.0013234813057685514,mini
added,0.0013232911527792908,added
provides,0.001309172712203057,provides
rented,0.0013075144023415568,rented
union,0.001305500362193369,union
entry,0.001304359049747407,entry
saw,0.0013042749792782382,saw
feeling,0.0013024579234987936,feeling
useful,0.0013020346387782255,useful
roger,0.0013018021533507981,roger
emily,0.0012993490471355858,emily
steve,0.0012914537810848215,steve
done,0.0012894943905203823,done
level,0.0012856288054692308,level
communicated,0.0012840434403468732,communicated
spectacular,0.0012832387445209212,spectacular
attention,0.001279206716389927,attention
included,0.0012782575761880488,included
katie,0.0012763965683227688,katie
angela,0.0012675372660169372,angela
rob,0.0012655897503617212,rob
literally,0.0012650568034869648,literally
bring,0.0012640083055332862,bring
head,0.0012639534267603588,head
doe,0.001257123625479422,doe
half,0.0012561596020549011,half
professional,0.0012556904438089968,professional
mike,0.0012478161666019869,mike
freeway,0.0012473360865083113,freeway
supply,0.0012459215750279958,supply
rebecca,0.0012435533449877037,rebecca
pick,0.0012374286630211966,pick
noisy,0.0012349581441684831,noisy
sandy,0.0012331038627215074,sandy
belltown,0.0012315931390801923,belltown
nicole,0.0012313954031624693,nicole
leaving,0.001231242316536988,leaving
communicating,0.0012251184540920787,communicating
garage,0.0012244102184148537,garage
essential,0.001222425117490206,essential
whenever,0.0012212367178710398,whenever
heater,0.0012211889235539488,heater
knew,0.0012210847689105237,knew
secure,0.0012187214430902848,secure
chicken,0.0012182134326494715,chicken
opportunity,0.0012137014702118404,opportunity
ample,0.0012118779352302707,ample
jen,0.001209679088938073,jen
share,0.0012085212522265952,share
trail,0.0012076591578637481,trail
taken,0.0012068787265054194,taken
andrea,0.0012058800485898135,andrea
must,0.0012047209699587319,must
jessica,0.0012043936519326999,jessica
informative,0.0011990995852837365,informative
expect,0.0011964322338556097,expect
adult,0.0011924943990561032,adult
egg,0.0011909710915889381,egg
donna,0.0011889921267840507,donna
unfortunately,0.001188887283083525,unfortunately
handy,0.001187490882783243,handy
number,0.0011831443920284625,number
relaxed,0.001181071739007206,relaxed
sitting,0.001180493141956648,sitting
quality,0.001170068832263207,quality
chad,0.0011695006838863204,chad
visited,0.0011686730971356958,visited
hand,0.0011684619983016234,hand
system,0.0011661103639804564,system
baby,0.0011645930951912915,baby
kelly,0.0011644317370713916,kelly
alki,0.0011640875860574366,alki
oasis,0.0011640350409957297,oasis
wonderfully,0.0011607089755794012,wonderfully
sid,0.001158853334800982,sid
jordan,0.001157956136297524,jordan
either,0.001156866459185999,either
together,0.0011562305818644844,together
kate,0.0011542684797687377,kate
smoothly,0.001153238129324052,smoothly
robert,0.0011504769201310145,robert
heat,0.0011492418154448844,heat
play,0.0011487203334257206,play
natural,0.0011481080142147475,natural
fact,0.0011477439670668135,fact
roof,0.0011476716733676584,roof
shannon,0.0011463918174877369,shannon
driving,0.001144369847114483,driving
seeing,0.0011438509110832536,seeing
possibly,0.0011437660604277193,possibly
website,0.0011437592586160793,website
setting,0.0011405699959336957,setting
gem,0.001138641835435759,gem
debbie,0.0011381259637014672,debbie
character,0.0011377771614214543,character
affordable,0.0011352797730628877,affordable
appreciate,0.0011350339636344302,appreciate
moment,0.0011346489074204001,moment
grace,0.001128317083612007,grace
bad,0.0011281850359322523,bad
soap,0.0011279317232174334,soap
mia,0.0011255653362091409,mia
accomodating,0.0011255644550623304,accomodating
cab,0.0011187495307360424,cab
jon,0.0011178461258733036,jon
shown,0.0011157748297327544,shown
maddy,0.0011122328040130494,maddy
hal,0.001110484164372132,hal
notice,0.0011104077278559104,notice
necessary,0.001107599608364787,necessary
wall,0.0011073746981188851,wall
planning,0.0011052139748239241,planning
max,0.0011036912647811664,max
cannot,0.001099600791623507,cannot
tell,0.0010989691610022144,tell
visitor,0.0010961327759110334,visitor
told,0.0010939488434042767,told
arriving,0.0010938631332358215,arriving
case,0.0010924250920750383,case
blanket,0.001091213557939619,blanket
running,0.00108949385906442,running
drop,0.001088956166367102,drop
atmosphere,0.001086297174769924,atmosphere
siena,0.0010827050392932518,siena
letting,0.001078343114663445,letting
ended,0.0010775980407885788,ended
hosting,0.0010775411521683801,hosting
charm,0.0010771149345767778,charm
surprise,0.0010754962774733195,surprise
watch,0.0010740931561667925,watch
idea,0.0010738815561925773,idea
despite,0.0010738472235364207,despite
porch,0.0010708758049415767,porch
complete,0.0010693546752418444,complete
listed,0.0010689326135790837,listed
miranda,0.0010636582760261103,miranda
soft,0.0010630577085007256,soft
environment,0.0010586187242459066,environment
north,0.0010572333724300003,north
kerry,0.0010554990628100266,kerry
addition,0.0010548260480644394,addition
sean,0.0010540407871488927,sean
style,0.001052648417274078,style
outdoor,0.001052439125774258,outdoor
mention,0.0010494891974270602,mention
term,0.0010485949325709967,term
barbara,0.0010473064599900827,barbara
true,0.0010465553059985928,true
choose,0.0010458727108545785,choose
shalini,0.0010448274269529525,shalini
greenlake,0.0010445517224343804,greenlake
happily,0.0010436599470196504,happily
blair,0.0010425037100939187,blair
microwave,0.0010413545493557612,microwave
muffin,0.0010390670728057324,muffin
arrive,0.0010385322473124147,arrive
airstream,0.0010384581808947873,airstream
party,0.0010377626264006564,party
michelle,0.001035889182598347,michelle
christine,0.00103479816974927,christine
taxi,0.0010344387584602128,taxi
ron,0.0010339617444849968,ron
exceeded,0.0010334672304645567,exceeded
lucky,0.001033310419686907,lucky
simply,0.0010318626534704715,simply
